AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9140,"Property, Real Estate, and Community Association Managers",broad,"311,180",1.8,,,,,40.25,"83,710",1.2,19.72,24.39,33.65,47.07,67.16,"41,010","50,720","69,990","97,910","139,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"311,180",1.8,,,,,40.25,"83,710",1.2,19.72,24.39,33.65,47.07,67.16,"41,010","50,720","69,990","97,910","139,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9150,Social and Community Service Managers,broad,"209,330",0.9,,,,,42.73,"88,880",0.3,25.56,30.91,38.65,49.61,63.59,"53,150","64,290","80,390","103,200","132,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,"209,330",0.9,,,,,42.73,"88,880",0.3,25.56,30.91,38.65,49.61,63.59,"53,150","64,290","80,390","103,200","132,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9160,Emergency Management Directors,broad,"13,500",1.7,,,,,49.24,"102,420",0.6,26.06,32.65,44.87,60.81,80.02,"54,210","67,910","93,330","126,490","166,430",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,"13,500",1.7,,,,,49.24,"102,420",0.6,26.06,32.65,44.87,60.81,80.02,"54,210","67,910","93,330","126,490","166,430",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9170,Personal Service Managers,broad,"24,350",2.4,,,,,41.61,"86,550",1.1,22.98,28.70,36.65,48.45,64.79,"47,810","59,700","76,240","100,780","134,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,"13,910",1.9,,,,,44.63,"92,840",1.2,23.90,29.75,37.88,49.97,75.19,"49,700","61,890","78,790","103,940","156,400",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,"10,450",4.7,,,,,37.59,"78,190",1.8,21.59,26.03,33.54,45.41,57.07,"44,910","54,130","69,770","94,440","118,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9190,Miscellaneous Managers,broad,"622,190",0.5,,,,,73.99,"153,890",0.3,35.72,49.46,68.22,89.57,114.55,"74,300","102,880","141,900","186,300","238,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,"622,190",0.5,,,,,73.99,"153,890",0.3,35.72,49.46,68.22,89.57,114.55,"74,300","102,880","141,900","186,300","238,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,"10,537,240",0.2,,,,,45.78,"95,230",0.2,23.47,30.26,39.74,55.20,74.04,"48,820","62,940","82,660","114,820","153,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,"7,485,920",0.3,,,,,44.63,"92,830",0.2,23.17,29.93,39.45,53.98,71.33,"48,190","62,250","82,060","112,280","148,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"12,620",6.4,,,,,68.07,"141,580",8.6,23.08,30.61,39.85,70.40,136.81,"48,010","63,670","82,890","146,430","284,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"12,620",6.4,,,,,68.07,"141,580",8.6,23.08,30.61,39.85,70.40,136.81,"48,010","63,670","82,890","146,430","284,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,broad,"491,430",0.7,,,,,40.27,"83,770",0.2,23.26,29.23,37.36,48.47,61.96,"48,380","60,800","77,710","100,820","128,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,"491,430",0.7,,,,,40.27,"83,770",0.2,23.26,29.23,37.36,48.47,61.96,"48,380","60,800","77,710","100,820","128,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"335,790",1.2,,,,,38.66,"80,420",0.3,23.55,29.47,37.51,47.05,55.81,"48,980","61,300","78,020","97,860","116,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"324,230",1.2,,,,,38.69,"80,470",0.3,23.48,29.40,37.50,47.13,56.27,"48,850","61,160","78,000","98,030","117,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,"11,560",5.4,,,,,37.93,"78,900",1.0,28.06,31.28,37.61,44.17,48.84,"58,360","65,050","78,240","91,880","101,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1040,Compliance Officers,broad,"417,070",0.5,,,,,42.50,"88,400",0.3,23.18,29.46,38.81,52.41,64.29,"48,220","61,280","80,730","109,010","133,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,"417,070",0.5,,,,,42.50,"88,400",0.3,23.18,29.46,38.81,52.41,64.29,"48,220","61,280","80,730","109,010","133,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1050,Cost Estimators,broad,"224,220",1.0,,,,,41.06,"85,390",0.6,23.33,29.40,37.86,48.97,62.90,"48,530","61,150","78,740","101,850","130,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,"224,220",1.0,,,,,41.06,"85,390",0.6,23.33,29.40,37.86,48.97,62.90,"48,530","61,150","78,740","101,850","130,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,"977,550",0.6,,,,,39.95,"83,090",0.2,22.71,28.37,36.87,48.28,62.47,"47,240","59,010","76,700","100,410","129,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,"912,430",0.6,,,,,39.42,"81,990",0.2,22.69,28.18,36.51,47.78,61.89,"47,180","58,610","75,940","99,380","128,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,310,28.4,,,,,28.11,"58,470",9.8,14.87,17.17,28.11,38.27,40.41,"30,930","35,720","58,460","79,590","84,050",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,"64,810",1.4,,,,,47.46,"98,720",1.0,24.27,34.58,45.87,59.34,75.09,"50,490","71,920","95,420","123,420","156,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1080,Logisticians and Project Management Specialists,broad,"1,317,720",0.6,,,,,51.32,"106,740",0.2,28.75,36.74,48.00,62.79,79.42,"59,810","76,420","99,830","130,590","165,190",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,"251,040",1.0,,,,,43.14,"89,730",0.4,24.47,30.98,39.58,51.05,64.02,"50,890","64,440","82,320","106,190","133,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,"1,066,670",0.6,,,,,53.24,"110,740",0.2,29.61,37.71,49.19,63.99,80.76,"61,580","78,440","102,320","133,100","167,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,"898,280",0.7,,,,,54.71,"113,790",1.1,29.15,37.48,48.97,64.12,82.52,"60,640","77,950","101,860","133,370","171,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,"898,280",0.7,,,,,54.71,"113,790",1.1,29.15,37.48,48.97,64.12,82.52,"60,640","77,950","101,860","133,370","171,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1120,"Meeting, Convention, and Event Planners",broad,"142,860",1.4,,,,,31.98,"66,520",0.9,17.71,22.58,29.41,37.88,48.90,"36,830","46,970","61,160","78,790","101,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,"142,860",1.4,,,,,31.98,"66,520",0.9,17.71,22.58,29.41,37.88,48.90,"36,830","46,970","61,160","78,790","101,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1130,Fundraisers,broad,"111,040",1.2,,,,,37.12,"77,200",0.5,22.42,27.63,34.88,44.32,55.68,"46,630","57,480","72,550","92,180","115,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,"111,040",1.2,,,,,37.12,"77,200",0.5,22.42,27.63,34.88,44.32,55.68,"46,630","57,480","72,550","92,180","115,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"112,380",1.6,,,,,40.54,"84,330",0.9,23.79,29.28,37.60,48.27,61.98,"49,480","60,890","78,210","100,400","128,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"112,380",1.6,,,,,40.54,"84,330",0.9,23.79,29.28,37.60,48.27,61.98,"49,480","60,890","78,210","100,400","128,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1150,Training and Development Specialists,broad,"458,300",0.8,,,,,36.32,"75,550",0.4,18.64,24.09,33.31,45.70,59.26,"38,760","50,110","69,280","95,050","123,250",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,"458,300",0.8,,,,,36.32,"75,550",0.4,18.64,24.09,33.31,45.70,59.26,"38,760","50,110","69,280","95,050","123,250",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1160,Market Research Analysts and Marketing Specialists,broad,"899,580",0.8,,,,,43.03,"89,490",0.5,20.86,28.05,37.87,52.07,74.75,"43,390","58,350","78,760","108,310","155,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,"899,580",0.8,,,,,43.03,"89,490",0.5,20.86,28.05,37.87,52.07,74.75,"43,390","58,350","78,760","108,310","155,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1190,Miscellaneous Business Operations Specialists,broad,"1,087,090",0.6,,,,,45.18,"93,970",0.3,23.02,30.12,39.93,54.81,72.12,"47,880","62,640","83,050","114,010","150,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,"1,087,090",0.6,,,,,45.18,"93,970",0.3,23.02,30.12,39.93,54.81,72.12,"47,880","62,640","83,050","114,010","150,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,"3,051,310",0.3,,,,,48.61,"101,120",0.3,24.25,31.12,40.71,57.92,78.53,"50,440","64,720","84,680","120,470","163,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2010,Accountants and Auditors,broad,"1,449,500",0.5,,,,,45.56,"94,750",0.3,26.93,32.22,40.23,52.80,69.27,"56,020","67,020","83,680","109,810","144,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,"1,449,500",0.5,,,,,45.56,"94,750",0.3,26.93,32.22,40.23,52.80,69.27,"56,020","67,020","83,680","109,810","144,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,broad,"57,070",2.9,,,,,36.43,"75,770",1.1,19.25,24.51,32.67,44.60,58.97,"40,030","50,970","67,960","92,760","122,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,"57,070",2.9,,,,,36.43,"75,770",1.1,19.25,24.51,32.67,44.60,58.97,"40,030","50,970","67,960","92,760","122,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2030,Budget Analysts,broad,"47,160",1.4,,,,,46.33,"96,370",0.6,29.93,36.21,44.06,54.91,65.70,"62,250","75,320","91,640","114,220","136,660",,
