month,ai_cuts,total_cuts,note
2026-03,15341,60620,"Challenger Gray & Christmas March 2026 report: AI led all stated reasons, 25% of cuts (via tradingeconomics.com summary of Challenger release)"
2026-05,38579,,"Challenger via Forbes 2026-06-23: AI blamed for 38,579 cuts in May; 87,714 YTD through May"
YTD-2026-05,87714,,"Challenger via Forbes 2026-06-23: 87,714 announced US job cuts citing AI, Jan-May 2026 (ticker headline)"
